Individuo,lnsalario,educ,edad,edad2,urban,soltero,casado,femenino
1,"0,8847",10,25,625,0,1,0,0
2,"0,5192",5,44,1936,1,0,1,0
3,"0,8359",10,40,1600,1,0,1,0
4,"1,4153",10,40,1600,1,0,1,0
5,"1,9055",12,23,529,0,0,1,1
6,"1,7930",9,17,289,1,1,0,0
7,"2,0204",12,25,625,0,0,1,1
8,"1,6978",5,24,576,1,0,1,0
9,"1,7720",12,18,324,0,1,0,1
10,"2,1879",12,40,1600,1,0,1,1
11,"2,5341",12,21,441,0,1,0,1
12,"2,1774",12,22,484,0,1,0,1
13,"2,1051",12,27,729,0,0,1,1
14,"2,0596",16,38,1444,1,0,1,0
15,"1,9151",12,45,2025,1,0,1,1
16,"2,3425",16,25,625,1,1,0,0
17,"2,2200",5,50,2500,0,0,1,0
18,"2,0413",5,60,3600,1,0,1,0
19,"2,0343",9,28,784,0,0,1,0
20,"2,4651",10,25,625,1,1,0,0
21,"2,4163",12,22,484,0,0,1,0
22,"2,1650",9,42,1764,0,0,1,0
23,"2,0108",5,50,2500,1,0,1,0
24,"2,4651",9,28,784,0,0,1,0
25,"2,1774",5,46,2116,0,0,1,0
26,"1,7720",5,30,900,0,0,1,0
27,"2,9023",5,22,484,0,0,1,0
28,"2,8398",5,20,400,0,1,0,0
29,"2,4862",5,24,576,1,0,1,0
30,"2,1774",5,42,1764,0,0,1,0
31,"3,0098",16,30,900,1,1,0,1
32,"2,7936",12,20,400,1,1,0,0
33,"2,7136",12,33,1089,0,0,1,0
34,"2,6636",5,48,2304,0,0,1,0
35,"2,5929",5,59,3481,1,0,1,0
36,"2,5929",5,24,576,1,0,1,0
37,"2,5929",5,41,1681,1,0,1,0
38,"2,5929",5,19,361,1,1,0,0
39,"2,3518",9,45,2025,1,0,1,0
40,"2,3518",5,22,484,0,1,0,0
41,"2,3518",5,24,576,0,1,0,0
42,"2,2027",12,24,576,0,0,1,0
43,"1,9827",12,20,400,0,1,0,0
44,"2,8610",9,30,900,1,0,1,0
45,"2,6322",12,21,441,1,1,0,0
46,"2,6322",5,36,1296,1,0,1,0
47,"2,7905",10,25,625,0,1,0,1
48,"2,7652",16,27,729,0,0,1,0
49,"2,6699",5,40,1600,1,0,1,0
50,"2,5829",10,33,1089,1,1,0,0
51,"2,4287",12,28,784,0,1,0,0
52,"2,2644",5,25,625,1,1,0,0
53,"2,6882",12,44,1936,1,0,1,0
54,"2,4471",5,37,1369,1,0,1,1
55,"2,6510",9,24,576,1,1,0,0
56,"2,6175",5,37,1369,0,0,1,0
57,"3,6572",5,25,625,0,1,0,0
58,"2,8269",12,25,625,1,1,0,0
59,"2,8269",16,26,676,0,1,0,0
60,"2,8016",5,40,1600,0,0,1,0
61,"2,8016",5,32,1024,1,0,1,0
62,"2,8016",12,26,676,1,0,1,0
63,"2,8016",9,45,2025,0,0,1,0
64,"2,7063",5,46,2116,1,0,1,0
65,"2,7063",5,44,1936,1,0,1,0
66,"2,7063",9,46,2116,0,0,1,0
67,"2,7063",12,40,1600,1,0,1,0
68,"2,7063",9,29,841,1,0,1,0
69,"2,7063",9,36,1296,1,0,1,0
70,"2,7063",9,38,1444,1,0,1,0
71,"2,7063",9,39,1521,1,0,1,0
72,"2,6618",12,35,1225,0,0,1,0
73,"2,5986",5,39,1521,1,0,1,0
74,"2,5784",5,35,1225,0,0,1,0
75,"2,4651",9,38,1444,1,0,1,0
76,"2,0596",5,38,1444,1,0,1,0
77,"2,6672",9,23,529,0,1,0,0
78,"2,6370",5,45,2025,0,0,1,0
79,"2,5379",9,45,2025,0,0,1,0
80,"3,1583",5,28,784,0,0,1,0
